Time	Species	State	Cell	Experiment	Dish	Plate	Well	Date
031616_Gel11_SUN_Exp49_Tube_19_160619092535	48	Human	SUN	A	49	19	11	4	20160308
031616_Gel12_CTRL_Exp54_Tube_1_160619172619	48	Human	CTRL	A	54	1	12	1	20160308
031616_Gel12_CTRL_Exp57_Tube_1_160620012658	48	Human	CTRL	A	57	1	12	2	20160308
031616_Gel12_REG_Exp54_Tube_9_160619212635	48	Human	REG	A	54	9	12	3	20160308
031616_Gel12_SUN_Exp57_Tube_4_160620052717	48	Human	SUN	A	57	4	12	4	20160308
072216_Gel1_CTRL_Exp23_Tube_1	48	Human	CTRL	B	23	1	1	1	20160628
072216_Gel1_GEF_Exp23_Tube_5	48	Human	GEF	B	23	5	1	2	20160628
072216_Gel1_GEF_Exp23_Tube_6	48	Human	GEF	B	23	6	1	3	20160628
072216_Gel1_TOF_Exp23_Tube_3	48	Human	TOF	B	23	3	1	4	20160628
072216_Gel1_TOF_Exp23_Tube_4	48	Human	TOF	B	23	4	1	5	20160628
072216_Gel2_BOS_Exp23_Tube_7	48	Human	BOS	B	23	7	2	2	20160628
072216_Gel2_BOS_Exp23_Tube_8	48	Human	BOS	B	23	8	2	3	20160628
072216_Gel2_CTRL_Exp23_Tube_1	48	Human	CTRL	B	23	1	2	1	20160628
072216_Gel2_EST_Exp23_Tube_18	48	Human	EST	B	23	18	2	4	20160628
072716_Gel3_ERL_Exp23_Tube_22	48	Human	ERL	B	23	22	3	1	20160628
072716_Gel3_VAN_Exp23_Tube_21	48	Human	VAN	B	23	21	3	2	20160628
09082016_Gel4_EXP33_BOS_tube24	48	Human	BOS	B	33	24	4	2	20160628
09082016_Gel4_EXP33_CTRL_tube2	48	Human	CTRL	B	33	2	4	1	20160628
09082016_Gel4_EXP33_ERL_tube10	48	Human	ERL	B	33	10	4	3	20160628
09082016_Gel4_EXP33_EST_tube6	48	Human	EST	B	33	6	4	4	20160628
080216_Gel5_CTRL_Exp40_Tube_1	48	Human	CTRL	B	40	1	5	1	20160628
080216_Gel5_DAS_Exp40_Tube_5	48	Human	DAS	B	40	5	5	2	20160628
080216_Gel5_ERL_Exp40_Tube_3	48	Human	ERL	B	40	3	5	3	20160628
080216_Gel5_ERL_Exp40_Tube_4	48	Human	ERL	B	40	4	5	4	20160628
080216_Gel5_GEF_Exp40_Tube_6	48	Human	GEF	B	40	6	5	5	20160628
080216_Gel6_AXI_Exp40_Tube_9	48	Human	AXI	B	40	9	6	2	20160628
080216_Gel6_CTRL_Exp40_Tube_1_160805053123	48	Human	CTRL	B	40	1	6	1	20160628
080216_Gel6_NIL_Exp40_Tube_8	48	Human	NIL	B	40	8	6	3	20160628
080216_Gel6_PAZ_Exp40_Tube_10	48	Human	PAZ	B	40	10	6	4	20160628
080216_Gel6_VAN_Exp40_Tube_7	48	Human	VAN	B	40	7	6	5	20160628
080616_Gel7_AFA_Exp40_Tube_12	48	Human	AFA	B	40	12	7	2	20160628
080616_Gel7_CTRL_Exp40_Tube_2	48	Human	CTRL	B	40	2	7	1	20160628
080616_Gel7_PON_Exp40_Tube_14	48	Human	PON	B	40	14	7	3	20160628
080616_Gel7_REG_Exp40_Tube_13	48	Human	REG	B	40	13	7	4	20160628
080616_Gel7_RUX_Exp40_Tube_11	48	Human	RUX	B	40	11	7	5	20160628
080616_Gel8_CAB_Exp40_Tube_19	48	Human	CAB	B	40	19	8	2	20160628
080616_Gel8_CTRL_Exp40_Tube_2	48	Human	CTRL	B	40	2	8	1	20160628
080616_Gel8_DAB_Exp40_Tube_17	48	Human	DAB	B	40	17	8	3	20160628
080616_Gel8_TRA_Exp40_Tube_20	48	Human	TRA	B	40	20	8	4	20160628
071116_Gel9_CTRL_Exp44_tube_1	48	Human	CTRL	B	44	1	9	1	20160628
071116_Gel9_DAS_Exp44_Tube_3	48	Human	DAS	B	44	3	9	2	20160628
071116_Gel9_GEF_Exp44_Tube_7	48	Human	GEF	B	44	7	9	3	20160628
071116_Gel9_LAP_Exp44_Tube_6	48	Human	LAP	B	44	6	9	4	20160628
071116_Gel9_TOF_Exp44_Tube_8	48	Human	TOF	B	44	8	9	5	20160628
071116_Gel10_CTRL_Exp44_Tube_1	48	Human	CTRL	B	44	1	10	1	20160628
071116_Gel10_AXI_Exp44_Tube_12	48	Human	AXI	B	44	12	10	2	20160628
071116_Gel10_BOS_Exp44_Tube_9	48	Human	BOS	B	44	9	10	3	20160628
071116_Gel10_NIL_Exp44_Tube_11	48	Human	NIL	B	44	11	10	4	20160628
071116_Gel10_VAN_Exp44_Tube_10	48	Human	VAN	B	44	10	10	5	20160628
071116_Gel11_CTRL_Exp44_Tube_2	48	Human	CTRL	B	44	2	11	1	20160628
071116_Gel11_AFA_Exp44_Tube_15	48	Human	AFA	B	44	15	11	2	20160628
071116_Gel11_PAZ_Exp44_Tube_13	48	Human	PAZ	B	44	13	11	3	20160628
071116_Gel11_REG_Exp44_Tube_16	48	Human	REG	B	44	16	11	4	20160628
071116_Gel11_RUX_Exp44_Tube_14	48	Human	RUX	B	44	14	11	5	20160628
09082016_Gel12_EXP44_CTRL_tube2_160916180753	48	Human	CTRL	B	44	2	12	1	20160628
09082016_Gel12_EXP44_TRA_tube21	48	Human	TRA	B	44	21	12	5	20160628
09082016_Gel12_EXP44_CAB_tube20	48	Human	CAB	B	44	20	12	2	20160628
